objname,ra,dec,distance,distance_err
UGC08048,193.91289,-0.2643356,16.5,1.1
UGC08053,193.955094,4.0132501,16.5,1.1
UGC08074,194.435817,2.6919425,16.5,1.1
UGC08081,194.5374675,14.8588542,16.5,1.1
UGC08276,198.0261,5.4758,16.5,1.1
UGC08285,198.1387095,7.1842848,16.5,1.1
UGC08298,198.331935,10.1940553,16.5,1.1
UGC06249,168.335964,59.9079749,16.515,6.505
IC3586,189.2285325,12.5200553,16.52,0.609
NGC4699,192.259104,-8.6643056,16.541,7.906
UGC02816,55.2995145,24.0125553,16.567,4.419
ESO570-019,170.0504745,-21.4706117,16.572,6.062
UGC05723,158.053191,-1.493409,16.579,7.015
NGC4515,188.2706895,16.2655117,16.596,0.459
NGC4612,190.386459,7.3148755,16.596,0.382
NGC5273,205.5350325,35.654368,16.6,1.07
UGC06900,178.914471,31.5197297,16.6,3.309
UGC01198,27.323292,85.2601944,16.609,4.466
UGC06237,168.059349,65.2254575,16.618,6.19
NGC5669,218.1827715,9.8914264,16.621,7.932
UGC01949,37.078569,-0.6081028,16.623,5.606
UGC02809,54.8877,19.7843,16.638,4.547
IC0779,184.911483,29.8831538,16.67,0.982
IC3381,187.06209,11.7898439,16.672,0.461
UGC01038,21.9470835,43.2518611,16.687,4.259
NGC4450,187.1229825,17.0848985,16.7,1.1
IC1197,242.072007,7.538608,16.723,6.35
UGC02855,57.086388,70.1328806,16.735,4.657
IC3461,188.0114205,11.8900469,16.749,0.386
NGC4435,186.9186555,13.0788413,16.749,0.386
NGC4483,187.6693575,9.0156651,16.749,0.463
IC5078,315.6299865,-16.8180583,16.8,4.399
NGC5907,228.9731505,56.3291505,16.8,0.78
UGC07131,182.2991667,30.90666667,16.8,3.349
UGC10369,245.4602325,67.2930768,16.802,5.651
NGC0178,9.784857,-14.1729167,16.808,6.713
NGC1140,43.639803,-10.0282842,16.81,6.707
IC3328,186.4912305,10.0537562,16.827,0.543
IC3509,188.5480245,12.0489745,16.827,0.543
IC3635,190.055712,12.8748063,16.827,0.62
NGC4406,186.549081,12.9458098,16.827,0.543
UGC05464,152.032107,29.5425778,16.838,6.181
ESO508-030,198.7286205,-23.143749,16.851,5.97
UGC05677,157.158996,3.5602399,16.864,7.07
UGC12029,336.1988325,22.9715586,16.881,4.441
NGC3928,177.94848,48.6831437,16.9,1.09
NGC4494,187.8501255,25.7749722,16.9,1.09
NGC4596,189.9830865,10.1761628,16.9,1.0
IC3442,187.8341355,14.1151898,16.904,0.623
NGC5112,200.4850875,38.7346783,16.906,7.558
UGC03749,108.9741135,67.9838295,16.908,5.603
NGC4212,183.9138765,13.9015755,16.912,1.279
ESO495-001,124.626042,-25.4108611,16.936,5.186
UGC03946,114.498399,3.3161257,16.94,4.475
UGC06014,163.4277945,9.727802,16.98,3.384
NGC4371,186.230853,11.7042332,16.982,0.469
NGC4478,187.5725385,12.3286079,16.982,0.469
NGC0991,38.886213,-7.1544011,16.992,6.52
IC3023,182.507382,14.3666292,17.0,1.002
NGC4313,185.660499,11.8009815,17.0,1.2
NGC4405,186.5297295,16.1809649,17.0,1.0
NGC4762,193.2332115,11.2308648,17.0,1.4
UGC04314,124.740603,58.2627368,17.025,5.601
UGC04841,138.6996255,74.2324722,17.042,5.493
IC3735,191.3350485,13.6927443,17.061,0.55
NGC4570,189.222507,7.2466697,17.061,0.471
IC1024,217.8626835,3.0081905,17.083,7.661
NGC2293,101.9279295,-26.753824,17.1,1.1
UGC04121,119.72655,58.042198,17.112,5.623
UGC03212,75.2593005,71.1759012,17.126,4.865
ESO485-021,73.220715,-25.2456967,17.139,7.216
IC3019,182.342742,13.9924314,17.14,0.711
NGC4472,187.444536,7.999724,17.14,0.553
UGC07399A,185.203422,17.4871586,17.14,0.553
ESO371-027,133.673346,-32.8164465,17.141,5.521
ESO442-013,189.306231,-28.4928213,17.148,5.895
UGC10713,256.1414385,72.4466523,17.154,5.154
NGC4321,185.7286665,15.8222492,17.2,1.7
NGC4461,187.262502,13.1838357,17.2,1.0
NGC4580,189.4515825,5.3684897,17.2,1.2
UGC07321,184.3918065,22.5402618,17.2,3.428
NGC4486,187.706364,12.3905194,17.219,0.555
ESO575-023,193.6546455,-18.3082361,17.22,7.108
UGC05979,163.1712495,67.9888889,17.225,6.288
ESO502-018,166.8265365,-25.5741594,17.243,5.948
NGC3729,173.45586,53.1258465,17.261,6.736
ESO502-020,167.341533,-22.8753872,17.272,6.013
ESO571-017,175.655907,-18.0882282,17.297,6.641
NGC4649,190.9165035,11.5527063,17.298,0.558
ESO495-008,125.2544475,-23.7791982,17.3,3.448
NGC4608,190.305291,10.1557138,17.3,0.8
UGC05708,157.8051645,4.4718409,17.307,7.216
UGC03912,113.552625,4.5464167,17.346,4.471
UGC03317,83.4065715,73.7239057,17.357,4.986
UGC05658,156.93825,71.237,17.365,5.891
NGC4479,187.576569,13.5776035,17.378,0.48
NGC4623,190.544589,7.676976,17.378,0.48
ESO571-018,175.711917,-19.0675833,17.379,6.534
NGC4477,187.5091695,13.6364183,17.4,0.8
NGC4694,192.0628695,10.9834901,17.4,1.7
NGC4733,192.7782255,10.9120916,17.4,1.1
UGC03580,103.8786255,69.5629722,17.428,5.613
UGC05671,157.21905,66.806198,17.429,6.436
NGC4638,190.697583,11.4424897,17.458,0.402
ESO480-020,45.6187425,-22.8010526,17.476,7.979
ESO371-030,135.077346,-34.0802017,17.477,5.464
NGC4689,191.9399205,13.7626332,17.5,1.5
NGC7339,339.4460505,23.7867242,17.535,4.486
UGC02345,42.9695325,-1.1727822,17.544,6.085
UGC01207,26.859459,82.1593208,17.555,4.588
IC2563,154.716327,-32.5966185,17.568,5.77
NGC1461,57.1130835,-16.3928889,17.57,7.234
UGC12682,353.722731,18.2267648,17.572,4.463
UGC07009,180.4336875,62.3258981,17.576,6.191
UGC01981,37.5713985,0.9374885,17.578,5.818
ESO576-025,199.6258395,-20.6883416,17.6,6.971
NGC0007,2.0869995,-29.9152222,17.6,7.81
NGC4540,188.711775,15.551327,17.6,1.4
NGC7180,330.577005,-20.5477539,17.6,1.14
UGC10023,236.5404825,6.898449,17.609,7.095
UGC10229,242.433132,-0.1151517,17.613,6.478
UGC03658,106.1666745,17.5825694,17.616,4.214
IC3602,189.528519,10.0824077,17.62,0.73
NGC4476,187.496226,12.3486489,17.62,0.568
NGC3252,158.5963845,73.7650129,17.623,5.589
UGC12009,335.6677215,37.9775039,17.655,4.606
UGC02866,57.5619585,70.0946944,17.656,4.664
UGC05205,146.0299905,-0.6583179,17.667,6.157
NGC1087,41.604876,-0.4986643,17.688,6.129
IC3044,183.201867,13.9760839,17.701,2.948
ESO445-007,205.0891755,-31.7011871,17.73,5.84
UGC05479,152.5401795,54.5035911,17.747,6.479
ESO425-001,90.0447495,-31.78725,17.752,6.865
UGC05421,151.1738205,55.311368,17.756,6.488
UGC03403,92.65173,71.3857421,17.777,5.315
IC3101,184.331895,11.9434794,17.783,0.819
NGC4377,186.3013485,14.7622167,17.783,0.491
NGC4094,181.474854,-14.5264306,17.812,7.274
NGC6821,296.100243,-6.8334257,17.812,4.535
NGC4382,186.350004,18.190178,17.865,0.411
ESO548-011,51.230493,-21.7835048,17.889,7.614
UGC01839,35.6254305,-0.6172421,17.945,5.914
NGC4387,186.423702,12.8104323,17.947,0.496
NGC0676,27.238854,5.9076449,18.001,5.49
IC0225,36.617832,1.1605165,18.007,5.778
UGC05522,153.495426,7.0239937,18.013,6.944
ESO425-002,90.144792,-28.9923056,18.03,6.375
NGC6814,295.669032,-10.3236977,18.03,4.597
UGC02826,55.939791,68.3013056,18.048,4.575
ESO572-007,178.1151525,-20.1038877,18.059,6.534
UGC03045,66.673917,20.407907,18.076,4.326
UGC05459,152.0419995,53.0834735,18.077,6.427
ESO572-006,178.074375,-18.0045303,18.098,6.699
NGC4216,183.976284,13.1493536,18.1,1.9
NGC4419,186.735207,15.0473742,18.1,1.5
ESO548-028,52.6499085,-17.9409138,18.102,7.372
ESO371-004,130.0600845,-32.9307214,18.107,5.289
NGC4482,187.5430845,10.7795011,18.113,0.501
NGC3206,155.448228,56.9304097,18.163,6.514
IC1870,44.4722295,-2.3463432,18.169,6.123
ESO368-004,113.227761,-35.4888232,18.204,5.836
UGC05460,152.038305,51.8445163,18.205,6.364
UGC06926,179.231052,57.5132123,18.21,6.42
ESO605-015,354.1509975,-21.861614,18.211,6.38
ESO548-076,55.3825635,-19.9051318,18.216,7.351
NGC3955,178.488138,-23.1641298,18.246,6.227
NGC3220,155.935635,57.0269647,18.25,6.519
UGC03587,103.478541,19.2996389,18.273,4.117
NGC4486A,187.7405205,12.2704646,18.281,0.505
NGC1336,51.634146,-35.7135417,18.3,0.67
NGC6118,245.4526275,-2.2834505,18.308,6.53
ESO576-032,199.9666665,-22.2788435,18.349,6.888
UGC12681,353.727303,18.0710144,18.355,4.545
ESO502-023,168.057981,-24.2324445,18.361,5.944
NGC4414,186.612942,31.2235137,18.362,0.82
ESO444-002,199.18884,-27.8859595,18.374,5.908
ESO540-016,10.561293,-18.1617203,18.385,7.347
NGC1345,52.3820055,-17.7783803,18.388,7.405
NGC4306,185.517102,12.7874957,18.4,1.1
NGC4526,188.512545,7.6992614,18.4,1.0
ESO382-040,199.84419,-33.2782743,18.404,5.807
NGC6237,251.59164,70.3587684,18.404,5.296
NGC7513,348.3082455,-28.3575333,18.405,6.616
NGC0255,11.9471085,-11.4687138,18.418,6.937
UGC03830,110.8772865,2.615844,18.43,4.527
ESO482-017,54.430533,-22.9081248,18.446,7.846
IC1251,257.554614,72.4106026,18.447,5.177
NGC4374,186.26544,12.8871094,18.45,0.425
NGC0216,10.362018,-21.0480584,18.459,7.981
ESO538-024,2.5745325,-18.265018,18.463,7.04
NGC5811,225.112773,1.6235808,18.464,7.435
UGC03485,98.732889,65.8360911,18.474,5.565
UGC03234,75.8523,16.4044,18.484,4.281
ESO548-004,50.8842,-18.6665,18.492,7.503
NGC0853,32.9222235,-9.3053561,18.492,7.21
UGC11964,333.870834,19.2205556,18.508,4.596
IC0600,154.2955005,-3.49775,18.514,6.65
NGC1258,48.522813,-21.7742361,18.519,7.974
NGC3079,150.491748,55.6799633,18.52,6.5
UGC04714,135.8136255,78.5628889,18.526,5.72
UGC07745,188.6601795,73.6666935,18.532,5.77
IC1218,244.1547045,68.2025725,18.561,5.521
NGC6395,261.630336,71.096297,18.572,5.189
ESO438-010,167.716269,-27.8977106,18.58,5.632
NGC3044,148.420374,1.5795904,18.582,6.491
UGC10554,252.0887955,-1.6189092,18.583,5.722
UGC03516,100.7854545,22.8738922,18.595,4.211
NGC1366,53.4735795,-31.1941097,18.6,3.71
NGC1379,54.015951,-35.4412325,18.6,1.29
NGC4548,188.8603635,14.4960731,18.6,1.5
UGC07271,183.889305,43.4341353,18.6,3.707
NGC6835,298.637835,-12.5679283,18.602,4.533
UGC06849,178.16319,50.0377926,18.608,7.102
UGC09057,212.553735,-2.5758909,18.615,7.834
ESO440-012,177.243444,-28.4446157,18.625,5.629
ESO605-024,355.004196,-22.0912852,18.635,6.419
NGC3985,179.175534,48.3339482,18.646,7.266
NGC0864,33.864879,6.0022245,18.675,5.54
IC0549,145.180089,3.9592469,18.69,6.276
ESO358-025,53.888022,-32.464894,18.7,0.6
NGC0063,4.439667,11.4503333,18.7,2.85
UGC10025,236.6002395,2.8440364,18.7,7.945
ESO438-005,167.242986,-28.3722881,18.705,5.592
NGC4352,186.0208425,11.21807,18.707,0.431
NGC6836,298.666848,-12.6879591,18.748,4.535
NGC4145,182.5062585,39.8839178,18.768,7.974
ESO573-003,183.228879,-20.4195625,18.77,6.791
NGC5002,197.659329,36.6344568,18.782,7.643
ESO503-007,168.9529095,-27.110662,18.786,5.607
NGC4217,183.9621975,47.0918971,18.803,7.337
ESO482-049,58.1108265,-23.04428,18.806,7.912
NGC7241,333.957978,19.2323442,18.816,4.615
ESO549-007,56.0478675,-19.3194625,18.817,7.347
ESO575-061,197.0638545,-21.0015604,18.818,6.971
UGC09299,217.394166,-0.0182683,18.819,7.797
ESO406-031,344.419869,-35.3970236,18.835,6.571
ESO495-009,125.323059,-25.7746121,18.847,5.214
ESO548-036,53.365323,-21.5647199,18.872,7.603
UGC06840,178.0294995,52.1079321,18.889,6.929
ESO483-008,61.510635,-22.6315048,18.894,7.644
NGC4237,184.2975975,15.3239034,18.9,2.0
NGC6283,254.8606245,49.9219722,18.914,5.581
UGC05539,153.9792075,2.6858522,18.919,6.986
NGC0941,37.116132,-1.1514899,18.92,6.302
ESO576-076,202.678614,-22.4211165,18.926,6.823
NGC0210,10.1458395,-13.8727168,18.957,7.883
ESO433-004,136.8330285,-32.1752487,18.966,4.991
NGC6340,257.6037375,72.3043878,18.968,5.205
ESO548-049,53.8682025,-21.2176352,18.987,7.54
NGC1401,54.8411025,-22.7247106,18.994,7.83
NGC3953,178.4542245,52.3266874,19.017,6.913
UGC10608,253.590288,53.1121407,19.021,5.482
UGC02813,55.642206,71.3079005,19.024,4.709
NGC3227,155.8775385,19.8649777,19.027,7.817
UGC05306,148.5384975,58.3409878,19.058,6.547
NGC4369,186.151113,39.382767,19.066,7.911
ESO495-017,128.2395585,-22.9008468,19.081,5.088
UGC00578,14.0880195,39.8258279,19.091,3.96
UGC07207,183.0791565,37.0139863,19.091,7.982
NGC1387,54.237795,-35.5066298,19.1,1.24
UGCA166,143.5088355,55.240618,19.1,2.2
ESO494-040,124.2503895,-25.370182,19.107,5.258
UGC04797,137.0439705,5.9276154,19.109,5.672
UGC09751,227.7434835,1.4377174,19.115,7.709
UGC10792,258.5083065,75.202756,19.117,5.306
ESO487-030,84.329904,-26.4312845,19.143,6.729
UGC05955,163.017459,71.7730278,19.144,6.278
IC4660,260.438475,75.8486772,19.163,5.349
ESO502-016,166.307169,-26.6241303,19.178,5.72
NGC5740,221.101833,1.6797606,19.181,7.488
NGC3403,163.478541,73.6903611,19.184,6.081
UGC00392,10.145931,83.2224703,19.191,4.637
NGC2517,120.6961245,-12.3178056,19.197,4.946
ESO359-002,57.653136,-35.9092815,19.2,1.24
NGC1052,40.2698445,-8.2558114,19.2,1.24
NGC1351,52.6457355,-34.8539675,19.2,0.62
NGC5770,223.3126245,3.9597557,19.2,1.24
NGC7406,343.4844045,-6.5791296,19.2,5.011
NGC0337,14.9585115,-7.5780176,19.203,6.951
ESO382-041,199.8699195,-35.1015591,19.212,5.669
ESO548-047,53.6811345,-19.0289514,19.214,7.426
NGC1353,53.012349,-20.8189344,19.222,7.542
NGC0972,38.5557495,29.3112222,19.239,4.37
ESO425-008,91.6526415,-27.8785793,19.25,6.186
UGC09787,228.9284985,1.4557657,19.259,7.977
ESO430-030,124.125558,-28.131649,19.263,5.317
NGC1373,53.7466575,-35.171106,19.3,0.8
NGC4441,186.83484,64.8015378,19.3,1.25
NGC0693,27.6286125,6.1451551,19.301,5.537
UGC01670,32.682681,6.7585777,19.318,5.504
UGC03409,92.719263,64.5675282,19.349,5.337
NGC0157,8.694936,-8.3964957,19.377,6.878
UGC07125,182.1755355,36.8026632,19.384,7.955
NGC0274,12.757866,-7.0570213,19.4,1.25
NGC1427,55.5808605,-35.3927299,19.4,0.62
UGC06923,179.206623,53.1603464,19.405,6.859
NGC3795A,174.838752,58.2686587,19.406,6.447
UGC06983,179.788908,52.7076803,19.407,6.881
UGC03503,99.505692,22.6517705,19.468,4.296
ESO423-002,78.8179905,-30.5264884,19.478,7.576
UGC04241,122.349,57.7631667,19.481,5.804
NGC4251,184.534584,28.1752778,19.5,1.26
NGC4342,185.9125185,7.05395,19.5,2.7
NGC1056,40.7012505,28.5740972,19.505,4.384
UGC03895,112.8475455,0.0533695,19.512,4.602
UGC12154,340.149309,72.8639361,19.522,4.476
IC0610,156.6180525,20.2280635,19.53,7.895
NGC7218,332.5489755,-16.6611713,19.531,5.049
NGC3165,153.3804105,3.3749946,19.535,7.116
ESO551-023,69.63075,-19.9687778,19.545,6.508
UGC02392,43.9433745,33.7665833,19.547,4.141
NGC5014,197.8804455,36.2820258,19.563,7.638
NGC1405,55.0787955,-15.5302571,19.574,7.313
ESO594-017,297.091833,-18.078397,19.577,4.418
UGC01803,35.1216105,6.8104447,19.595,5.443
IC1919,51.509343,-32.8945051,19.6,1.26
NGC2591,129.35637,78.0264134,19.607,5.846
UGC07146,182.454615,43.2346966,19.644,7.712
IC1067,223.2718215,3.3317578,19.652,7.449
UGC02984,63.301578,13.4218477,19.66,4.538
UGC03964,115.074024,-1.5738189,19.661,4.739
UGC10803,259.0219695,73.4360503,19.675,5.332
UGC05455,152.20977,70.6336035,19.677,6.607
ESO483-003,59.5447245,-22.5669333,19.678,7.733
UGC05047,142.206699,51.5605002,19.68,3.923
IC1066,223.2619035,3.2960214,19.681,7.449
ESO372-008,137.515575,-33.1541005,19.683,4.966
ESO469-015,347.231595,-30.8579125,19.687,6.691
UGC06296,169.213362,17.7977862,19.688,3.399
ESO357-025,50.9052435,-35.7784111,19.7,1.27
ESO358-059,56.2649625,-35.9726584,19.7,0.73
NGC1339,52.0274205,-32.2860883,19.7,0.73
NGC1374,53.8190985,-35.2263035,19.7,0.63
NGC6384,263.10108,7.0603341,19.7,2.27
IC3311,186.3877395,12.2604676,19.715,3.237
NGC2715,137.025915,78.0852619,19.72,5.854
NGC0525,21.220416,9.7032222,19.73,4.981
NGC2775,137.5838355,7.0379658,19.748,5.971
UGC06969,179.6971725,53.4254076,19.753,6.867
ESO469-013,346.810905,-27.6848309,19.754,6.676
NGC4035,180.121704,-15.9483611,19.754,6.849
NGC4100,181.535652,49.5827722,19.785,7.074
NGC5774,223.427109,3.5825214,19.786,7.504
ESO358-050,55.2650835,-33.7793779,19.8,1.28
NGC1375,53.820087,-35.2656484,19.8,1.28
NGC1440,56.262084,-18.2660278,19.813,7.328
ESO425-012,92.777292,-28.70575,19.818,6.496
ESO572-018,178.9609125,-18.1965404,19.823,6.653
UGC11484,297.14475,54.2033,19.83,4.561
NGC5084,200.0702715,-21.8273138,19.843,6.858
ESO594-011,295.1765835,-22.2704167,19.874,4.272
NGC1404,54.7163115,-35.5942321,19.875,0.75
NGC1380A,54.197838,-34.7395814,19.9,1.28
NGC1396,54.5273115,-35.4399467,19.9,1.28
NGC7250,334.5741915,40.5624227,19.9,0.74
ESO504-025,178.459434,-27.3492974,19.915,5.809
ESO573-022,186.6875535,-22.0132741,19.915,6.75
ESO482-036,55.5801495,-22.7562263,19.916,7.884
ESO536-003,350.567148,-23.7010954,19.918,6.502
UGC12070,352.988865,78.150597,19.92,4.488
NGC3254,157.333632,29.4920072,19.946,7.599
UGC05540,154.0915365,37.7797751,19.953,6.779
NGC1438,56.3217735,-23.0025161,19.96,7.914
NGC2985,147.5919525,72.279194,19.962,6.513
ESO374-008,148.595613,-33.116842,19.966,4.999
UGC05958,162.816057,27.8487479,19.98,7.76
IC2006,58.6185075,-35.9671247,20.0,1.29
NGC0584,22.836393,-6.868085,20.0,1.29
NGC3626,170.0158305,18.3568119,20.0,2.22
UGC03475,97.6202085,39.5037778,20.0,3.986
ESO551-020,69.459732,-20.0649638,20.011,6.547
NGC1415,55.2368745,-22.5644382,20.014,7.852
NGC2559,124.2752895,-27.455717,20.033,5.313
NGC0755,29.0944425,-9.0613525,20.037,7.28
ESO532-014,330.738741,-22.4726662,20.058,5.094
IC2520,149.0838045,27.2276124,20.067,7.225
UGC02997,64.020333,8.1801111,20.071,4.704
UGC09560,222.73563,35.5719793,20.071,6.713
ESO548-046,53.6587425,-17.4763851,20.1,7.428
ESO444-029,201.30675,-28.782,20.111,5.99
ESO504-014,176.598375,-27.2511476,20.113,5.74
NGC2742,136.88985,60.479436,20.123,6.576
NGC3185,154.4107005,21.6883195,20.137,7.582
UGC00132,3.503208,12.9638611,20.141,4.734
NGC3757,174.2619495,58.415527,20.148,6.464
UGC05629,156.054525,21.0497102,20.154,7.787
NGC4041,180.5508435,62.13726,20.165,6.202
NGC4039,180.4734345,-18.886422,20.191,6.633
NGC6412,262.4063295,75.7043154,20.199,5.444
NGC4579,189.431379,11.8181349,20.2,1.4
NGC4639,190.718337,13.2572415,20.2,0.65
UGC05245,146.8935195,-2.0330489,20.232,6.31
UGC06378,170.529897,69.6336709,20.245,6.243
NGC7742,356.065458,10.7670833,20.279,4.764
NGC3166,153.4404105,3.4248246,20.291,7.397
IC1254,257.889294,72.4019766,20.292,5.327
NGC7743,356.088042,9.9340278,20.3,1.31
UGC04787,136.8947955,33.2778569,20.3,4.046
UGC05923,162.281538,6.917337,20.3,4.046
NGC3850,176.398362,55.8868963,20.313,6.717
NGC1300,49.921083,-19.4111944,20.314,7.973
NGC3957,178.506435,-19.5687535,20.316,6.525
UGC01112,23.327997,3.070505,20.35,6.164
ESO601-025,332.5521135,-18.8644492,20.354,5.142
NGC1198,46.555125,41.8489722,20.355,3.851
UGC11566,307.0499895,0.2884151,20.366,4.283
NGC3599,168.8622915,18.1103766,20.367,1.69
NGC2267,100.215375,-32.48225,20.368,6.539
NGC3631,170.262,53.169556,20.374,6.959
NGC4634,190.6703655,14.296135,20.38,1.155
NGC3622,170.051565,67.2416283,20.382,6.401
NGC3585,168.3212415,-26.7548771,20.4,1.32
NGC7185,330.736494,-20.4712773,20.4,1.32
UGC07990,192.6131325,28.3528463,20.4,4.066
ESO505-023,182.400909,-23.4120125,20.415,6.523
ESO554-017,83.988678,-21.24755,20.418,6.054
NGC4133,182.208,74.9042778,20.419,5.982
ESO494-007,119.2262055,-24.906177,20.428,5.384
ESO532-015,330.7840845,-22.3945654,20.429,5.149
NGC4142,182.3756565,53.1047127,20.444,6.787
UGC05551,154.2997425,4.3301709,20.478,7.631
IC2158,91.324854,-27.8569722,20.495,6.326
ESO549-018,57.0586665,-21.4744722,20.497,7.574
ESO358-042,54.538266,-34.5185751,20.5,1.32
NGC1428,55.5954675,-35.153676,20.5,1.32
NGC3457,163.7025255,17.6211731,20.5,1.32
UGC04549,131.089317,58.8419672,20.505,6.519
UGC11557,306.002952,60.1947818,20.51,4.355
UGC04788,137.0962575,59.0746849,20.512,6.575
ESO532-002,328.343334,-26.5786056,20.516,5.031
IC2913,172.9639635,-30.4107737,20.517,5.198
NGC5134,201.3272895,-21.1341192,20.517,6.848
UGC11458,293.7783,69.995003,20.517,4.704
ESO494-021,121.371408,-22.9248955,20.546,5.356
NGC6538,268.569,73.4239444,20.55,5.419
ESO407-002,346.172625,-34.0578056,20.552,6.657
NGC3956,178.5028425,-20.567365,20.554,6.397
NGC3898,177.313767,56.0843617,20.568,6.705
NGC2655,133.909989,78.2234475,20.571,5.92
IC3005,181.8089895,-30.0245136,20.572,5.517
ESO422-005,73.02306,-28.5922084,20.577,7.52
NGC0275,12.76881,-7.066142,20.579,7.127
ESO572-011,178.471833,-20.6407094,20.583,6.39
UGC04932,139.893513,51.1085471,20.6,4.106
UGC11861,329.1005835,73.2609167,20.602,4.513
NGC7625,350.1256035,17.2256058,20.611,4.71
UGC07175,182.728239,39.7571711,20.611,7.778
NGC6217,248.163375,78.1981944,20.623,5.475
NGC3733,173.7567375,54.8504969,20.624,6.885
IC2764,171.7709115,-28.9802592,20.625,5.236
ESO576-037,200.120214,-19.8430404,20.626,6.901
UGC11539,304.6306665,62.6911944,20.628,4.358
IC5271,344.507541,-33.7422083,20.635,6.641
NGC2525,121.408419,-11.4270204,20.646,5.205
NGC7259,335.7729165,-28.9548056,20.651,5.586
UGC12549,350.4725655,17.4364444,20.656,4.713
NGC7188,330.8709045,-20.3179491,20.665,5.141
NGC0298,13.7597415,-7.3331276,20.667,7.236
UGC11651,314.3141895,25.9648765,20.67,4.444
ESO572-049,180.8520075,-19.5228009,20.685,6.583
NGC6236,251.1448695,70.7803589,20.696,5.29
ESO440-027,178.3501695,-28.5531853,20.697,5.56
ESO358-006,51.8251485,-34.526429,20.7,1.34
NGC1201,46.033425,-26.0696911,20.7,0.48
UGC04781,136.6428525,6.303805,20.733,6.04
UGC12182,341.407917,73.162,20.753,4.422
ESO467-029,333.6960195,-29.6870738,20.757,5.472
UGC00866,20.0283735,-0.2054246,20.761,6.466
UGC11000,267.360831,36.1453519,20.768,4.649
ESO601-001,329.1787575,-21.2093516,20.769,5.099
UGC02827,56.0016,69.3234988,20.773,4.953
UGC10609,253.238235,69.882202,20.788,5.286
UGC03647,106.211013,56.5202379,20.795,5.368
IC0335,53.879325,-34.4471192,20.8,0.67
NGC3972,178.9378935,55.3207262,20.8,0.67
UGC12261,344.1528,71.480202,20.8,4.386
UGC06931,179.356029,57.9300322,20.801,6.471
NGC3162,153.3815655,22.7375523,20.817,7.488
ESO601-014,331.0637055,-20.0461483,20.821,5.156
NGC3177,154.1422395,21.1230192,20.825,7.664
UGC06940,179.448162,53.234497,20.832,6.941
NGC3605,169.1941755,18.0171489,20.833,2.79
UGC01297,27.544392,2.310009,20.881,6.386
UGC06805,177.5511045,42.0746323,20.887,7.626
UGC04808,137.561274,59.9541624,20.891,6.607
ESO440-018,177.9188775,-30.0920563,20.893,5.389
ESO358-043,54.556716,-33.1272222,20.9,1.35
ESO421-019,72.293583,-29.2064167,20.901,7.661
NGC0450,18.8768565,-0.8609175,20.909,6.391
UGC03390,90.5217495,36.1044167,20.913,4.46
UGC10805,259.962564,14.4001611,20.913,5.429
NGC4027,179.8756665,-19.2651667,20.914,6.552
UGC04701,135.5041665,78.2775,20.914,5.96
UGC08542,203.38254,38.605423,20.917,7.248
UGC10791,258.6611355,72.3987504,20.936,5.384
NGC2146A,95.980029,78.5300142,20.944,5.664
NGC4038,180.470898,-18.8682165,20.95,0.68
ESO505-002,180.1327365,-24.7239653,20.959,6.193
ESO426-027,99.123186,-30.7549607,20.961,6.473
ESO505-012,181.496928,-27.0155979,20.963,6.009
ESO601-007,330.5904165,-21.0413841,20.975,5.181
IC4212,198.012837,-6.9920395,20.987,7.918
NGC1340,52.081809,-31.0681613,21.0,0.77
NGC1380,54.114948,-34.9760931,21.0,0.1
NGC3672,171.2602935,-9.7954052,21.0,3.22
NGC3795,175.0281075,58.6131508,21.024,6.504
UGC12344,346.2493545,18.7033213,21.026,4.701
IC0691,171.684588,59.1554577,21.045,6.486
UGC05716,157.9302825,25.3076582,21.049,7.622
NGC6951,309.308682,66.1056815,21.05,0.63
ESO563-013,130.635204,-19.8722263,21.065,5.287
NGC2566,124.6900005,-25.4995,21.073,5.375
UGC05976,163.011759,55.6011322,21.076,6.713
NGC2654,132.299184,60.2211886,21.096,6.521
NGC1399,54.62112,-35.4506257,21.1,0.68
NGC3418,162.8497845,28.1120212,21.102,7.936
ESO489-015,93.034143,-23.5386285,21.107,5.611
IC0271,43.9973805,-12.007859,21.111,7.392
UGC04466,129.2310795,77.8325603,21.118,5.937
ESO440-046,181.171584,-28.116373,21.13,5.772
IC2469,140.754315,-32.4497721,21.139,4.849
ESO525-005,291.6877515,-27.4204619,21.143,4.445
UGC06575,174.110361,58.1908545,21.148,6.562
UGC12151,340.391136,0.4008287,21.15,4.964
ESO553-045,81.7547445,-21.5570723,21.162,6.718
IC4178,196.423005,36.0174141,21.168,7.578
NGC1253,48.538872,-2.8223591,21.178,6.278
NGC3717,172.8831525,-30.3077105,21.179,5.165
UGC12160,340.2271245,75.1647222,21.179,4.433
ESO509-026,202.1027475,-27.5699422,21.181,6.091
NGC5496,212.9076735,-1.1578822,21.184,7.967
NGC2777,137.6743785,7.2067028,21.19,6.302
NGC5750,221.5463595,-0.2229715,21.191,7.872
ESO440-006,176.6353755,-30.0990107,21.193,5.325
ESO572-012,178.488273,-20.1392009,21.197,6.408
NGC1172,45.400125,-14.8366111,21.2,1.37
NGC1389,54.2987985,-35.7460455,21.2,0.68
ESO561-030,123.575589,-18.2887178,21.201,5.398
UGC00099,2.669664,13.7094431,21.201,4.786
